Sr.No,Round,Institute,Program,Stream,Seat Type,Quota,Category,Opening Rank,Closing Rank
2554,Round 2,"Govt. College of Engineering & Ceramic Technology, Kolkata",Information Technology,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,SC,12167,12332
2555,Round 2,"Govt. College of Engineering & Ceramic Technology, Kolkata",Information Technology,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,ST,68278,68278
2556,Round 2,"Govt. College of Engineering & Ceramic Technology, Kolkata",Information Technology (TFW),B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Tuition Fee Waiver,5336,5336
2557,Round 2,"Govt. College of Engineering & Ceramic Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,OBC - A,8733,8733
2558,Round 2,"Govt. College of Engineering & Ceramic Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,OBC - B,4387,4930
2559,Round 2,"Govt. College of Engineering & Ceramic Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Open,3249,3839
2560,Round 2,"Govt. College of Engineering & Ceramic Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Open (PwD),48214,48214
2561,Round 2,"Govt. College of Engineering & Ceramic Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,SC,9584,9590
2562,Round 2,"Govt. College of Engineering & Ceramic Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,ST,48904,48904
2563,Round 2,"Govt. College of Engineering & Ceramic Technology, Kolkata",Computer Science & Engineering - TFW,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Tuition Fee Waiver,3565,3565
2564,Round 2,"Govt. College of Engineering & Ceramic Technology, Kolkata",Ceramic Enginering And Technology,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,OBC - A,21380,32524
2565,Round 2,"Govt. College of Engineering & Ceramic Technology, Kolkata",Ceramic Enginering And Technology,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,OBC - B,20866,24153
2566,Round 2,"Govt. College of Engineering & Ceramic Technology, Kolkata",Ceramic Enginering And Technology,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Open,12459,16808
2567,Round 2,"Govt. College of Engineering & Ceramic Technology, Kolkata",Ceramic Enginering And Technology,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,SC,21807,29909
2568,Round 2,"Govt. College of Engineering & Ceramic Technology, Kolkata",Ceramic Enginering And Technology (TFW),B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Tuition Fee Waiver,20482,20555
2569,Round 2,"Govt. College of Engineering & Textile Technology, Serampore",Information Technology,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,OBC - A,16722,17976
2570,Round 2,"Govt. College of Engineering & Textile Technology, Serampore",Information Technology,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,OBC - B,9593,10708
2571,Round 2,"Govt. College of Engineering & Textile Technology, Serampore",Information Technology,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Open,6903,8907
